Location,Ca/Na melt,Ca/Na plag,Expected fO2,fO2,H2O,Fo,An,Expected Fo,Expected An,Expexted H20
Medicine Lake ,0.680668051,0.821085437,NNO ,QFM -1,10,0.832,0.844,0.847448442,0.921928176,Saturated/10
Medicine Lake ,0.680668051,0.808105999,NNO ,QFM  ,10,0.841,0.832,0.847448442,0.921928176,Saturated/10
Medicine Lake ,0.681560914,0.838600514,NNO ,QFM -1,10,0.84,0.86,0.864317457,#VALUE!,Saturated/10
Medicine Lake ,0.65659495,0.799880663,NNO ,QFM -1,10,0.825,0.825,0.835610137,0.907390245,Saturated/10
Medicine Lake ,0.648002379,0.807775047,NNO ,QFM +1,10,0.854,0.832,0.848984608,0.913617461,Saturated/10
Medicine Lake ,0.648002379,0.799862959,NNO ,QFM -1,10,0.827,0.825,0.848984608,0.913617461,Saturated/10
Medicine Lake ,0.648002379,0.792286424,NNO ,QFM  ,10,0.838,0.818,0.848984608,0.913617461,Saturated/10
Medicine Lake ,0.531575664,0.580172776,NNO ,QFM -1,10,0.789,0.617,0.768645853,0.848611327,Saturated/10
Medicine Lake ,0.57172804,0.625123133,NNO ,QFM -1,10,0.803,0.659,0.782626084,0.894963459,Saturated/10
Medicine Lake ,0.46603085,0.601982267,NNO ,QFM -1,10,0.743,0.638,0.768322473,0.822230381,Saturated/10
Medicine Lake ,NaN,NaN,NNO ,NNO ,10,0.853,0.849,0.864317457,#VALUE!,Saturated/10
Medicine Lake ,0.65659495,0.794167555,NNO ,NNO ,10,0.841,0.819,0.835610137,0.907390245,Saturated/10
Medicine Lake ,0.52118902,0.597254206,NNO ,NNO -1,10,0.812,0.635,0.794000565,0.883004834,Saturated/10
Medicine Lake ,0.557458921,0.594733358,NNO ,NNO -1,10,0.801,0.631,0.775821282,0.857748007,Saturated/10
Medicine Lake ,0.680668051,0.809905601,NNO ,QFM +1,10,0.805,0.84,0.847448442,0.921928176,Saturated/10
Medicine Lake ,0.681560914,0.827704928,NNO ,QFM +1,10,0.7948,0.8374,0.864317457,#VALUE!,Saturated/10
Medicine Lake ,0.681560914,0.839262458,NNO ,QFM  ,10,0.8493,0.8536,0.864317457,#VALUE!,Saturated/10
Medicine Lake ,0.557458921,0.594733358,NNO ,QFM -1,10,0.7998,0.6584,0.78179312,0.86540374,Saturated/10
Medicine Lake ,0.594733358,0.666623638,NNO ,QFM -1,10,0.7975,0.6419,0.775821282,0.857748007,Saturated/10
Medicine Lake ,0.680668051,0.855701373,NNO ,NNO ,10,0.84449,0.87457,0.847448442,0.921928176,Saturated/10
Medicine Lake ,0.648002379,0.841970849,NNO ,NNO ,10,0.84144,0.8624,0.848984608,0.913617461,Saturated/10
Medicine Lake ,0.52118902,0.782695169,NNO ,NNO ,10,0.8239,0.8089,0.794000565,0.883004834,Saturated/10
Medicine Lake ,0.557458921,0.807214362,NNO ,NNO ,10,0.81439,0.83057,0.775821282,0.857748007,Saturated/10
Medicine Lake ,0.57172804,0.802178039,NNO ,NNO ,10,0.818218,0.82518,0.782626084,0.894963459,Saturated/10
Medicine Lake ,0.531575664,0.797175493,NNO ,NNO ,10,0.7577,0.8215,0.768645853,0.848611327,Saturated/10
Medicine Lake ,0.570349062,0.807350743,NNO ,NNO ,10,0.8153,0.8299,0.78179312,0.86540374,Saturated/10
Medicine Lake ,0.46603085,0.748809147,NNO ,NNO ,10,NaN,0.7767,0.768322473,0.822230381,Saturated/10