Location,fO2,H2O,Fo,An,Expected Fo,Expexted H20,Mg# Glass,Mg# Melt
Ross Island - Mt. Terror,QFM -2.5,2,0.529,0.429,50,1.8-2.5,0.444082889,0.46057934
Ross Island - Mt. Terror,QFM -2,2,0.53,0.399,50,1.8-2.6,0.444082889,0.46459001
Ross Island - Mt. Terror,QFM -3,2,0.578,0.43,50,1.8-2.7,0.444082889,0.457326355
Ross Island - Mt. Terror,QFM -2,2,0.536,0.39,50,1.8-2.8,0.422001946,0.44212935
Ross Island - Mt. Terror,QFM -3,2,0.534,0.443,50,1.8-2.9,0.422001946,0.434997747
Ross Island - Mt. Terror,QFM -2.5,2,0.527,0.457,50,1.8-2.10,0.421966703,0.438177251
Ross Island - Mt. Terror,QFM -2,2,0.53,0.5,50,1.8-2.11,0.421966703,0.44212637
Ross Island - Mt. Terror,QFM -3,2,0.523,0.481,50,1.8-2.12,0.421966703,0.434983713
Ross Island - Mt. Terror,QFM -2,2,0.536,0.405,50,1.8-2.13,0.419818968,0.439789652
Ross Island - Mt. Terror,QFM -3,2,0.564,0.46,50,1.8-2.14,0.419818968,0.43271186
Ross Island - Mt. Terror,QFM -2.5,2,0.538,0.449,50,1.8-2.15,0.416114958,0.432160706
Ross Island - Mt. Terror,QFM -2,2,0.54,0.419,50,1.8-2.16,0.416114958,0.436072449
Ross Island - Mt. Terror,QFM -3,2,0.54,0.473,50,1.8-2.17,0.416114958,0.428998193
Ross Island - Mt. Terror,QFM -2,2,0.545,0.41,50,1.8-2.18,0.407545715,0.427489773
Ross Island - Mt. Terror,QFM -3,2,0.544,0.455,50,1.8-2.19,0.407545715,0.420417716
Ross Island - Mt. Terror,QFM -2,2,0.52,0.38,50,1.8-2.20,0.415921574,0.43610633
Ross Island - Mt. Terror,QFM -3,2,0.516,0.432,50,1.8-2.21,0.415921574,0.428953081
Ross Island - Mt. Terror,QFM -3,2,0.563,0.468,50,1.8-2.22,0.420263179,0.433152066
Ross Island - Mt. Terror,QFM -2.5,2,0.577,0.402,50,1.8-2.23,0.407719638,0.423889974
Ross Island - Mt. Terror,QFM -3,2,0.579,0.424,50,1.8-2.24,0.407719638,0.420695041
Ross Island - Mt. Terror,QFM -3,2,0.512,0.456,50,1.8-2.25,0.421746245,0.435023437
Ross Island - Mt. Terror,QFM -3,2,0.544,0.416,50,1.8-2.26,0.409401762,0.422432266