Sample Name,Si,Total Alkali,Olv + Cpx,Cpx + Plg,Olv + Plg
r6a_148,49.62908348,3.275782989,68,68,79
R6a_153,51.62431429,3.685714286,50,50,50
R6a_154,53.98058571,4.179542857,50,50,50
R6a_142,50.97384545,4.205536364,75,100,NaN
R6a_146,53.64262857,5.057042857,NaN,,125
R6a_152,48.60756,2.91634,NaN,50,NaN
R6a_156,49.20166667,2.842459259,NaN,50,NaN
R6a_157,50.9608,2.9880625,NaN,50,NaN
R6a_158,51.70918,3.4431,NaN,50,NaN
R6a_159,53.42628,3.6731,NaN,50,NaN
R6a_160,48.87862174,2.822078261,NaN,50,NaN
R6a_161,50.508824,2.95014,NaN,50,NaN
R6a_162,51.27105,3.026391667,NaN,50,NaN
R6a_163,52.1017875,3.034325,NaN,50,NaN
R6a_164,51.32455385,3.005711538,NaN,50,NaN
R6a_165,52.12066,2.937793333,NaN,50,NaN
R6a_188,52.06796492,3.052683192,50,NaN,NaN
R6a_189,52.30116841,3.452729487,85,NaN,50
R6a_170,50.75012222,3.995155556,50,100,NaN
R6a_174,49.73105714,3.216814286,NaN,75,NaN
R6a_178,50.02989,3.02139,50,NaN,NaN
R6a_179,52.18736667,3.643366667,NaN,50,NaN
R6a_180,53.05938333,4.230983333,NaN,50,NaN
R6a_182,49.30773846,2.893657692,NaN,NaN,NaN
R6a_183,50.29007273,2.944463636,NaN,NaN,NaN
R6a_184,51.22503939,3.022812121,NaN,NaN,NaN
R6a_185,51.41339,3.03113,NaN,NaN,NaN
R6a_186,48.77752727,2.776563636,NaN,NaN,NaN
R6a_187,50.51214667,2.95448,NaN,NaN,NaN
R6a_190,57.36255556,3.886177778,NaN,NaN,NaN
R6a_191,54.81075714,4.687157143,NaN,125,NaN
R6a_193,50.02549762,2.920045238,NaN,NaN,NaN
R6a_195,52.9572,3.56835,NaN,NaN,NaN